datatype,_clipped,_debug,_green_area_m2,_green_percentage,_green_pixels,_is_green_roof,_ndvi_avg,_ndvi_max,_ndvi_min,_pixel_area_m2,_total_pixels,geotiff_byte_order,geotiff_compression_method,geotiff_interleaving_type
Generic,yes,"Step 1: Get raster | 167x172, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (167, 172) | Range: -0.305 to 65536.000 | Valid pixels: 15481 | NDVI avg: 0.087 | Green: 1.3% (2.0 m2) | Result: No | SUCCESS",1.98,1.28,198,No,0.0873,0.5875,-0.3048,0.01,15481,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 356x465, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (356, 465) | Range: -0.289 to 65536.000 | Valid pixels: 44021 | NDVI avg: 0.150 | Green: 15.9% (70.1 m2) | Result: No | SUCCESS",70.13,15.93,7013,No,0.1495,0.6498,-0.2887,0.01,44021,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 206x253, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (206, 253) | Range: -0.257 to 65536.000 | Valid pixels: 27550 | NDVI avg: 0.096 | Green: 3.0% (8.4 m2) | Result: No | SUCCESS",8.38,3.04,838,No,0.0956,0.5913,-0.2565,0.01,27550,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 57x66, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (57, 66) | Range: -0.474 to 65536.000 | Valid pixels: 1889 | NDVI avg: 0.038 | Green: 0.7% (0.1 m2) | Result: No | SUCCESS",0.14,0.74,14,No,0.038,0.3906,-0.4741,0.01,1889,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 175x133, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (175, 133) | Range: -0.436 to 65536.000 | Valid pixels: 9699 | NDVI avg: 0.026 | Green: 0.4% (0.3 m2) | Result: No | SUCCESS",0.35,0.36,35,No,0.026,0.4482,-0.4363,0.01,9699,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 708x927, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (708, 927) | Range: -0.424 to 65536.000 | Valid pixels: 232849 | NDVI avg: 0.010 | Green: 1.0% (24.4 m2) | Result: No | SUCCESS",24.35,1.05,2435,No,0.0104,0.7194,-0.4236,0.01,232849,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 143x281, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (143, 281) | Range: -0.310 to 65536.000 | Valid pixels: 31088 | NDVI avg: 0.123 | Green: 31.2% (97.0 m2) | Result: No | SUCCESS",97.01,31.2,9701,No,0.123,0.6608,-0.3097,0.01,31088,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 143x138, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (143, 138) | Range: -0.357 to 65536.000 | Valid pixels: 11720 | NDVI avg: -0.015 | Green: 0.0% (0.0 m2) | Result: No | SUCCESS",0.03,0.03,3,No,-0.0154,0.3429,-0.3573,0.01,11720,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 154x155, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (154, 155) | Range: -0.191 to 65536.000 | Valid pixels: 13468 | NDVI avg: 0.135 | Green: 4.3% (5.8 m2) | Result: No | SUCCESS",5.8,4.31,580,No,0.1346,0.4358,-0.1906,0.01,13468,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 96x129, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (96, 129) | Range: -0.012 to 65536.000 | Valid pixels: 3989 | NDVI avg: 0.503 | Green: 93.5% (37.3 m2) | Result: Yes | SUCCESS",37.31,93.53,3731,Yes,0.5034,0.8166,-0.0124,0.01,3989,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 135x135, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (135, 135) | Range: -0.368 to 65536.000 | Valid pixels: 9452 | NDVI avg: 0.022 | Green: 0.1% (0.1 m2) | Result: No | SUCCESS",0.12,0.13,12,No,0.0219,0.3425,-0.3682,0.01,9452,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 140x116, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (140, 116) | Range: -0.311 to 65536.000 | Valid pixels: 7955 | NDVI avg: 0.066 | Green: 4.9% (3.9 m2) | Result: No | SUCCESS",3.87,4.86,387,No,0.0655,0.7085,-0.3109,0.01,7955,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 172x197, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (172, 197) | Range: -0.347 to 65536.000 | Valid pixels: 19435 | NDVI avg: 0.056 | Green: 7.5% (14.5 m2) | Result: No | SUCCESS",14.52,7.47,1452,No,0.0559,0.6937,-0.3474,0.01,19435,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 48x58, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (48, 58) | Range: -0.371 to 65536.000 | Valid pixels: 1530 | NDVI avg: 0.126 | Green: 20.1% (3.1 m2) | Result: No | SUCCESS",3.08,20.13,308,No,0.126,0.4222,-0.3714,0.01,1530,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 179x133, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (179, 133) | Range: -0.356 to 65536.000 | Valid pixels: 19229 | NDVI avg: 0.110 | Green: 23.5% (45.2 m2) | Result: No | SUCCESS",45.24,23.53,4524,No,0.1098,0.6903,-0.3559,0.01,19229,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 98x96, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (98, 96) | Range: -0.251 to 65536.000 | Valid pixels: 6277 | NDVI avg: 0.009 | Green: 0.5% (0.3 m2) | Result: No | SUCCESS",0.31,0.49,31,No,0.0093,0.3663,-0.2509,0.01,6277,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 198x231, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (198, 231) | Range: -0.369 to 65536.000 | Valid pixels: 22366 | NDVI avg: 0.044 | Green: 0.1% (0.3 m2) | Result: No | SUCCESS",0.25,0.11,25,No,0.0439,0.3932,-0.3688,0.01,22366,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 71x59, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (71, 59) | Range: -0.199 to 65536.000 | Valid pixels: 2031 | NDVI avg: 0.219 | Green: 53.8% (10.9 m2) | Result: Yes | SUCCESS",10.93,53.82,1093,Yes,0.2186,0.5546,-0.1993,0.01,2031,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 139x140, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (139, 140) | Range: -0.259 to 65536.000 | Valid pixels: 11868 | NDVI avg: 0.053 | Green: 0.5% (0.6 m2) | Result: No | SUCCESS",0.62,0.52,62,No,0.0531,0.3908,-0.2586,0.01,11868,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 177x189, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (177, 189) | Range: -0.273 to 65536.000 | Valid pixels: 17460 | NDVI avg: -0.016 | Green: 0.1% (0.1 m2) | Result: No | SUCCESS",0.1,0.06,10,No,-0.0158,0.4885,-0.2735,0.01,17460,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 170x179, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (170, 179) | Range: -0.370 to 65536.000 | Valid pixels: 16218 | NDVI avg: 0.027 | Green: 0.0% (0.0 m2) | Result: No | SUCCESS",0.03,0.02,3,No,0.0271,0.3021,-0.3702,0.01,16218,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 182x177, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (182, 177) | Range: -0.354 to 65536.000 | Valid pixels: 17017 | NDVI avg: 0.096 | Green: 0.4% (0.7 m2) | Result: No | SUCCESS",0.72,0.42,72,No,0.0965,0.4067,-0.3536,0.01,17017,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 344x487, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (344, 487) | Range: -0.317 to 65536.000 | Valid pixels: 45061 | NDVI avg: 0.078 | Green: 1.2% (5.6 m2) | Result: No | SUCCESS",5.6,1.24,560,No,0.0778,0.591,-0.3171,0.01,45061,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 364x481, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (364, 481) | Range: -0.359 to 65536.000 | Valid pixels: 63780 | NDVI avg: 0.086 | Green: 0.2% (1.3 m2) | Result: No | SUCCESS",1.35,0.21,135,No,0.086,0.4708,-0.3595,0.01,63780,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 106x100, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (106, 100) | Range: -0.148 to 65536.000 | Valid pixels: 8231 | NDVI avg: 0.277 | Green: 46.1% (38.0 m2) | Result: Yes | SUCCESS",37.98,46.14,3798,Yes,0.2768,0.7439,-0.1477,0.01,8231,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 212x242, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (212, 242) | Range: -0.287 to 65536.000 | Valid pixels: 24928 | NDVI avg: 0.101 | Green: 0.5% (1.3 m2) | Result: No | SUCCESS",1.29,0.52,129,No,0.101,0.5227,-0.2865,0.01,24928,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 135x137, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (135, 137) | Range: -0.273 to 65536.000 | Valid pixels: 10677 | NDVI avg: 0.032 | Green: 0.1% (0.1 m2) | Result: No | SUCCESS",0.11,0.1,11,No,0.0317,0.3178,-0.2729,0.01,10677,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 172x165, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (172, 165) | Range: -0.278 to 65536.000 | Valid pixels: 18325 | NDVI avg: 0.093 | Green: 0.6% (1.0 m2) | Result: No | SUCCESS",1.01,0.55,101,No,0.0929,0.6203,-0.2783,0.01,18325,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 171x351, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (171, 351) | Range: -0.271 to 65536.000 | Valid pixels: 18257 | NDVI avg: 0.315 | Green: 47.6% (87.0 m2) | Result: Yes | SUCCESS",86.98,47.64,8698,Yes,0.3146,0.8402,-0.2708,0.01,18257,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 100x106, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (100, 106) | Range: -0.215 to 65536.000 | Valid pixels: 5443 | NDVI avg: 0.122 | Green: 18.7% (10.2 m2) | Result: No | SUCCESS",10.18,18.7,1018,No,0.1222,0.7184,-0.2147,0.01,5443,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 139x161, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (139, 161) | Range: -0.237 to 65536.000 | Valid pixels: 11356 | NDVI avg: 0.018 | Green: 0.0% (0.0 m2) | Result: No | SUCCESS",0.01,0.01,1,No,0.018,0.2521,-0.2369,0.01,11356,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 200x282, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (200, 282) | Range: -0.324 to 65536.000 | Valid pixels: 44837 | NDVI avg: -0.152 | Green: 0.1% (0.5 m2) | Result: No | SUCCESS",0.49,0.11,49,No,-0.1517,0.4118,-0.324,0.01,44837,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 51x65, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (51, 65) | Range: -0.160 to 65536.000 | Valid pixels: 1766 | NDVI avg: 0.012 | Green: 0.0% (0.0 m2) | Result: No | SUCCESS",0,0,0,No,0.0124,0.1646,-0.1603,0.01,1766,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 140x130, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (140, 130) | Range: -0.320 to 65536.000 | Valid pixels: 10369 | NDVI avg: 0.050 | Green: 1.0% (1.0 m2) | Result: No | SUCCESS",1,0.96,100,No,0.0501,0.8189,-0.32,0.01,10369,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 219x223, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (219, 223) | Range: -0.447 to 65536.000 | Valid pixels: 27880 | NDVI avg: -0.231 | Green: 0.0% (0.0 m2) | Result: No | SUCCESS",0,0,0,No,-0.2307,0.0252,-0.4471,0.01,27880,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 151x129, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (151, 129) | Range: -0.291 to 65536.000 | Valid pixels: 18595 | NDVI avg: 0.112 | Green: 0.2% (0.4 m2) | Result: No | SUCCESS",0.36,0.19,36,No,0.1117,0.4324,-0.291,0.01,18595,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 117x133, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (117, 133) | Range: -0.215 to 65536.000 | Valid pixels: 8963 | NDVI avg: 0.141 | Green: 6.4% (5.7 m2) | Result: No | SUCCESS",5.7,6.36,570,No,0.1411,0.6287,-0.215,0.01,8963,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 243x234, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (243, 234) | Range: -0.439 to 65536.000 | Valid pixels: 32409 | NDVI avg: -0.233 | Green: 0.0% (0.0 m2) | Result: No | SUCCESS",0,0,0,No,-0.2334,0.0624,-0.4395,0.01,32409,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 160x169, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (160, 169) | Range: -0.493 to 65536.000 | Valid pixels: 15633 | NDVI avg: 0.051 | Green: 0.9% (1.4 m2) | Result: No | SUCCESS",1.41,0.9,141,No,0.0507,0.4608,-0.4934,0.01,15633,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 163x164, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (163, 164) | Range: -0.960 to 65536.000 | Valid pixels: 14743 | NDVI avg: 0.005 | Green: 3.0% (4.4 m2) | Result: No | SUCCESS",4.37,2.96,437,No,0.0049,0.6587,-0.9598,0.01,14743,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 164x176, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (164, 176) | Range: -0.257 to 65536.000 | Valid pixels: 15219 | NDVI avg: -0.009 | Green: 0.0% (0.0 m2) | Result: No | SUCCESS",0,0,0,No,-0.0088,0.2181,-0.2569,0.01,15219,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 107x105, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (107, 105) | Range: -0.217 to 65536.000 | Valid pixels: 5514 | NDVI avg: 0.145 | Green: 2.5% (1.4 m2) | Result: No | SUCCESS",1.38,2.5,138,No,0.1445,0.3575,-0.2168,0.01,5514,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 298x284, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (298, 284) | Range: -0.365 to 65536.000 | Valid pixels: 33519 | NDVI avg: -0.026 | Green: 0.2% (0.6 m2) | Result: No | SUCCESS",0.64,0.19,64,No,-0.0258,0.4642,-0.3651,0.01,33519,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 118x100, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (118, 100) | Range: -0.120 to 65536.000 | Valid pixels: 6326 | NDVI avg: 0.261 | Green: 61.1% (38.7 m2) | Result: Yes | SUCCESS",38.66,61.11,3866,Yes,0.2612,0.4903,-0.1202,0.01,6326,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 205x186, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (205, 186) | Range: -0.260 to 65536.000 | Valid pixels: 20417 | NDVI avg: 0.129 | Green: 0.9% (1.7 m2) | Result: No | SUCCESS",1.74,0.85,174,No,0.1292,0.4266,-0.2604,0.01,20417,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 220x235, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (220, 235) | Range: -0.370 to 65536.000 | Valid pixels: 25226 | NDVI avg: -0.000 | Green: 2.9% (7.4 m2) | Result: No | SUCCESS",7.37,2.92,737,No,-0.0002,0.7347,-0.3705,0.01,25226,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 134x136, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (134, 136) | Range: -0.550 to 65536.000 | Valid pixels: 10481 | NDVI avg: 0.007 | Green: 0.1% (0.1 m2) | Result: No | SUCCESS",0.1,0.1,10,No,0.0066,0.3068,-0.55,0.01,10481,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 139x115, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (139, 115) | Range: -0.185 to 65536.000 | Valid pixels: 7566 | NDVI avg: 0.232 | Green: 28.8% (21.8 m2) | Result: No | SUCCESS",21.8,28.81,2180,No,0.232,0.7795,-0.1847,0.01,7566,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 143x135, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (143, 135) | Range: -0.318 to 65536.000 | Valid pixels: 10089 | NDVI avg: 0.036 | Green: 0.1% (0.1 m2) | Result: No | SUCCESS",0.06,0.06,6,No,0.0359,0.3303,-0.3181,0.01,10089,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 162x193, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (162, 193) | Range: -0.673 to 65536.000 | Valid pixels: 17009 | NDVI avg: 0.132 | Green: 32.6% (55.5 m2) | Result: No | SUCCESS",55.51,32.64,5551,No,0.1324,0.9983,-0.6732,0.01,17009,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 143x167, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (143, 167) | Range: -0.221 to 65536.000 | Valid pixels: 13026 | NDVI avg: 0.053 | Green: 0.9% (1.2 m2) | Result: No | SUCCESS",1.19,0.91,119,No,0.0527,0.5364,-0.2208,0.01,13026,LSB,lzw,BIP
